"","term"
"1","acid"
"2","aging"
"3","also"
"4","berri"
"5","dri"
"6","fresh"
"7","fruit"
"8","fruiti"
"9","give"
"10","juici"
"11","show"
"12","solid"
"13","structur"
"14","tannin"
"15","wine"
"16","wood"
"17","blackberri"
"18","blend"
"19","cabernet"
"20","cherri"
"21","franc"
"22","merlot"
"23","aroma"
"24","dark"
"25","finish"
"26","flavor"
"27","tannins"
"28","well"
"29","light"
"30","drink"
"31","firm"
"32","red"
"33","age"
"34","bordeaux"
"35","rich"
"36","weight"
"37","will"
"38","flavors"
"39","acidity"
"40","now"
"41","ripe"
"42","smooth"
"43","soft"
"44","structure"
"45","full"
"46","new"
"47","chocol"
"48","note"
"49","sauvignon"
"50","spice"
"51","black"
"52","big"
"53","balanc"
"54","plum"
"55","year"
"56","currant"
"57","layer"
"58","fruits"
"59","barrel"
"60","oak"
"61","good"
"62","fine"
"63","tannic"
"64","dens"
"65","still"
"66","years"
"67","character"
"68","power"
"69","great"
"70","sweet"
"71","sample"
