"","term"
"1","age"
"2","balanc"
"3","develop"
"4","fine"
"5","finish"
"6","fruit"
"7","hint"
"8","oak"
"9","palate"
"10","tannin"
"11","wine"
"12","year"
"13","cedar"
"14","chocol"
"15","complex"
"16","offer"
"17","open"
"18","smooth"
"19","spice"
"20","suggest"
"21","big"
"22","blend"
"23","cabernet"
"24","cassis"
"25","cherri"
"26","classic"
"27","drink"
"28","time"
"29","aroma"
"30","firm"
"31","flavor"
"32","full"
"33","good"
"34","herb"
"35","show"
"36","tight"
"37","light"
"38","chocolate"
"39","mocha"
"40","now"
"41","vanilla"
"42","blackberri"
"43","eleg"
"44","made"
"45","rich"
"46","soft"
"47","spici"
"48","jam"
"49","price"
"50","sauvignon"
"51","tobacco"
"52","black"
"53","cherry"
"54","dark"
"55","note"
"56","palat"
"57","red"
"58","mix"
"59","plum"
"60","flavors"
"61","fresh"
"62","currant"
"63","dri"
"64","acid"
"65","herbal"
"66","ripe"
"67","hard"
"68","power"
"69","smoki"
"70","tannic"
"71","give"
"72","leather"
"73","pepper"
"74","cellar"
"75","need"
"76","structur"
"77","tannins"
"78","enough"
"79","nice"
"80","blackberry"
"81","just"
"82","quit"
"83","seem"
"84","tart"
"85","alcohol"
"86","berri"
"87","mouth"
"88","new"
"89","still"
"90","great"
"91","long"
"92","pretti"
"93","well"
"94","acidity"
"95","plenti"
"96","vineyard"
"97","come"
"98","nose"
"99","mountain"
"100","bit"
"101","cassi"
"102","deep"
"103","will"
"104","also"
"105","cab"
"106","dry"
"107","slight"
"108","cherries"
"109","lot"
"110","toast"
"111","strong"
"112","almost"
"113","smoke"
"114","sweet"
"115","tast"
"116","feel"
"117","raspberri"
"118","bottl"
"119","touch"
"120","style"
"121","lush"
"122","best"
"123","earth"
"124","currants"
"125","make"
"126","green"
"127","napa"
"128","valley"
"129","one"
"130","littl"
"131","solid"
"132","mouthfeel"
"133","sharp"
"134","even"
"135","aromas"
"136","like"
"137","next"
"138","much"
"139","blackberries"
"140","yet"
"141","young"
"142","years"
"143","although"
