"","term"
"1","drink"
"2","give"
"3","intens"
"4","lime"
"5","long"
"6","peach"
"7","well"
"8","white"
"9","wine"
"10","appl"
"11","bake"
"12","finish"
"13","fresh"
"14","lemon"
"15","new"
"16","oak"
"17","palate"
"18","spici"
"19","aroma"
"20","feel"
"21","fine"
"22","flavor"
"23","fruit"
"24","note"
"25","palat"
"26","show"
"27","almost"
"28","chardonnay"
"29","complex"
"30","full"
"31","miner"
"32","much"
"33","now"
"34","textur"
"35","tight"
"36","weight"
"37","will"
"38","character"
"39","hint"
"40","need"
"41","strong"
"42","toast"
"43","vineyard"
"44","age"
"45","crisp"
"46","still"
"47","acid"
"48","citrus"
"49","good"
"50","round"
"51","acidity"
"52","flavors"
"53","fruiti"
"54","touch"
"55","make"
"56","nice"
"57","smoki"
"58","smooth"
"59","texture"
"60","oaki"
"61","pear"
"62","ripe"
"63","soft"
"64","spice"
"65","bit"
"66","caramel"
"67","eleg"
"68","honey"
"69","one"
"70","light"
"71","nose"
"72","yellow"
"73","apple"
"74","power"
"75","rich"
"76","butter"
"77","green"
"78","like"
"79","come"
"80","balanc"
"81","bright"
"82","slight"
"83","sweet"
"84","style"
"85","chard"
"86","orang"
"87","vanilla"
"88","apricot"
"89","layer"
"90","wood"
"91","creami"
"92","great"
"93","melon"
"94","open"
"95","tropic"
"96","dry"
"97","aromas"
"98","even"
"99","pineapple"
"100","made"
"101","big"
"102","plenti"
"103","tart"
"104","mouth"
"105","pineappl"
"106","delici"
"107","offer"
"108","price"
"109","dri"
"110","mango"
"111","minerality"
"112","barrel"
"113","yet"
"114","toasti"
"115","clean"
"116","structur"
"117","banana"
"118","cream"
"119","tast"
"120","mouthfeel"
"121","also"
"122","add"
"123","brisk"
"124","fruits"
"125","butterscotch"
"126","simpl"
"127","lot"
"128","firm"
"129","just"
"130","littl"
"131","year"
"132","seem"
"133","years"
"134","import"
"135","pineapples"
