"","term"
"1","aroma"
"2","black"
"3","blend"
"4","cherry"
"5","dark"
"6","drink"
"7","fine"
"8","finish"
"9","flavor"
"10","fruit"
"11","new"
"12","now"
"13","oak"
"14","tannin"
"15","toast"
"16","bottl"
"17","cellar"
"18","fruits"
"19","quit"
"20","vineyard"
"21","wine"
"22","acidity"
"23","bright"
"24","delic"
"25","layer"
"26","silky"
"27","textur"
"28","delici"
"29","long"
"30","seem"
"31","tea"
"32","vanilla"
"33","cola"
"34","green"
"35","ripe"
"36","age"
"37","cinnamon"
"38","full"
"39","raspberries"
"40","acid"
"41","cherri"
"42","firm"
"43","noir"
"44","note"
"45","offer"
"46","pinot"
"47","solid"
"48","big"
"49","give"
"50","show"
"51","still"
"52","tannins"
"53","year"
"54","currant"
"55","eleg"
"56","pretti"
"57","red"
"58","spices"
"59","concentr"
"60","light"
"61","make"
"62","palat"
"63","raspberri"
"64","rich"
"65","power"
"66","slight"
"67","smooth"
"68","good"
"69","mouthfeel"
"70","nice"
"71","spice"
"72","structur"
"73","tart"
"74","cranberri"
"75","fresh"
"76","fruiti"
"77","littl"
"78","mouth"
"79","style"
"80","suggest"
"81","vintage"
"82","berri"
"83","bit"
"84","spici"
"85","tight"
"86","dri"
"87","earthi"
"88","palate"
"89","also"
"90","hint"
"91","plum"
"92","clean"
"93","one"
"94","time"
"95","character"
"96","come"
"97","plenti"
"98","flavors"
"99","nose"
"100","will"
"101","juici"
"102","just"
"103","texture"
"104","yet"
"105","crisp"
"106","dry"
"107","great"
"108","made"
"109","raspberry"
"110","valley"
"111","balanc"
"112","soft"
"113","feel"
"114","need"
"115","tannic"
"116","alcohol"
"117","cherries"
"118","silki"
"119","smoki"
"120","earth"
"121","touch"
"122","complex"
"123","strawberri"
"124","wild"
"125","core"
"126","pepper"
"127","years"
"128","young"
"129","sandalwood"
"130","price"
"131","structure"
"132","develop"
"133","well"
"134","color"
"135","herbal"
"136","although"
"137","next"
"138","wood"
"139","mix"
"140","almost"
"141","sweet"
"142","tast"
"143","best"
"144","herb"
"145","sharp"
"146","like"
"147","lot"
"148","pie"
