"","term"
"1","aroma"
"2","black"
"3","bright"
"4","cherry"
"5","deliv"
"6","flavor"
"7","pepper"
"8","tannin"
"9","wine"
"10","blend"
"11","clove"
"12","dri"
"13","drink"
"14","firm"
"15","offer"
"16","open"
"17","palat"
"18","plum"
"19","sangioves"
"20","toast"
"21","berry"
"22","cabernet"
"23","dark"
"24","franc"
"25","leather"
"26","merlot"
"27","sauvignon"
"28","syrah"
"29","tannins"
"30","tobacco"
"31","bit"
"32","blackberri"
"33","feel"
"34","finish"
"35","like"
"36","soft"
"37","spice"
"38","licoric"
"39","red"
"40","berri"
"41","big"
"42","fruit"
"43","herbal"
"44","meat"
"45","flavors"
"46","nose"
"47","aromas"
"48","complex"
"49","ripe"
"50","smooth"
"51","chocol"
"52","note"
"53","touch"
"54","cherri"
"55","earth"
"56","fresh"
"57","green"
"58","mouth"
"59","show"
"60","lead"
"61","oak"
"62","smoke"
"63","well"
"64","hint"
"65","structur"
"66","blackberry"
"67","currant"
"68","raspberri"
"69","acid"
"70","also"
"71","tannic"
"72","malbec"
"73","palate"
"74","petit"
"75","sirah"
"76","spici"
"77","sweet"
"78","will"
"79","light"
"80","rich"
"81","age"
"82","balanc"
"83","cab"
"84","now"
"85","grape"
"86","made"
"87","littl"
"88","verdot"
"89","come"
"90","mouthfeel"
"91","nice"
"92","pair"
"93","fine"
"94","mix"
"95","concentr"
"96","herb"
"97","sangiovese"
"98","vanilla"
"99","full"
"100","long"
"101","slight"
"102","tight"
"103","intens"
"104","give"
"105","tast"
"106","year"
"107","back"
"108","one"
"109","make"
"110","chocolate"
"111","cola"
"112","tone"
"113","good"
