"","term"
"1","balanc"
"2","flavors"
"3","white"
"4","wine"
"5","drink"
"6","fruit"
"7","green"
"8","lime"
"9","ripe"
"10","citrus"
"11","miner"
"12","round"
"13","well"
"14","acid"
"15","crisp"
"16","finish"
"17","grapefruit"
"18","lemon"
"19","peach"
"20","aroma"
"21","flavor"
"22","fresh"
"23","gooseberri"
"24","hint"
"25","palate"
"26","slight"
"27","tart"
"28","rich"
"29","offer"
"30","tropic"
"31","vanilla"
"32","nose"
"33","now"
"34","palat"
"35","soft"
"36","appl"
"37","note"
"38","show"
"39","acidity"
"40","sweet"
"41","light"
"42","touch"
"43","oak"
"44","clean"
"45","melon"
"46","grass"
"47","mouth"
"48","good"
"49","dri"
"50","herbal"
"51","blanc"
"52","dry"
"53","passion"
"54","sauvignon"
"55","bit"
"56","like"
"57","just"
"58","fig"
"59","nice"
