"","term"
"1","aroma"
"2","chocol"
"3","dark"
"4","drink"
"5","flavor"
"6","fruit"
"7","soft"
"8","tannins"
"9","berri"
"10","blackberri"
"11","dri"
"12","nose"
"13","show"
"14","spice"
"15","flavors"
"16","like"
"17","plum"
"18","ripe"
"19","wine"
"20","acid"
"21","palat"
"22","pepper"
"23","syrah"
"24","cherri"
"25","vineyard"
"26","complex"
"27","rich"
"28","tannic"
"29","chocolate"
"30","dry"
"31","note"
"32","now"
"33","oak"
"34","sweet"
"35","tannin"
"36","meat"
"37","smoke"
"38","black"
"39","finish"
"40","good"
"41","red"
"42","blackberry"
"43","herb"
"44","bit"
