,variety,bagOfWordsList,Fruit,Acidity,Taste,Flavor
1,Cabernet Sauvignon, age balanc  fine finish fruit hint oak palate tannin  year cedar chocol complex  open smooth spice suggest big blend cabernet cassis cherri classic  time aroma firm flavor   herb  tight light chocolate mocha  vanilla blackberri eleg  rich soft spici jam price sauvignon tobacco black cherry dark  palat red mix plum flavors fresh currant dri acid herbal ripe hard  smoki tannic  leather pepper cellar need  tannins   blackberry  quit seem tart alcohol berri mouth    long pretti  acidity plenti vineyard come nose mountain  cassi deep   cab dry slight cherries lot toast strong  smoke sweet tast  raspberri bottl touch style lush best earth currants make green napa valley one littl solid mouth sharp  aromas  next much blackberries  young  ,Cherry,,,Herbal
2,Sauvignon Blanc, balanc flavors white   fruit green lime ripe citrus miner round  acid crisp finish grapefruit lemon peach aroma flavor fresh gooseberri hint palate slight tart rich  tropic vanilla nose  palat soft appl   acidity sweet light touch oak clean melon grass mouth  dri herbal blanc dry passion sauvignon    fig ,,,,
3,Pinot Noir, aroma black blend cherry dark  fine finish flavor fruit   oak tannin toast bottl cellar fruits quit vineyard  acidity bright delic layer silky textur delici long seem tea vanilla cola green ripe age cinnamon  raspberries acid cherri firm noir   pinot solid big    tannins year currant eleg pretti red spices concentr light make palat raspberri rich  slight smooth  mouth  spice  tart cranberri fresh fruiti littl mouth style suggest vintage berri  spici tight dri earthi palate  hint plum clean one time  come plenti flavors nose  juici  texture  crisp dry   raspberry valley balanc soft  need tannic alcohol cherries silki smoki earth touch complex strawberri wild core pepper  young sandalwood price e   color herbal  next wood mix  sweet tast best herb sharp  lot pie,,,,
4,Tempranillo, aroma finish flavor fruit oak  cherri palat plum spice berri   black nose red flavors ,,,,
5,Chardonnay,   intens lime long peach  white  appl bake finish fresh lemon  oak palate spici aroma  fine flavor fruit  palat   chardonnay complex  miner much  textur tight weight   hint need strong toast vineyard age crisp  acid citrus  round acidity flavors fruiti touch make  smoki smooth texture oaki pear ripe soft spice  caramel eleg honey one light nose yellow apple  rich butter green  come balanc bright slight sweet style chard orang vanilla apricot layer wood creami  melon open tropic dry aromas  pineapple  big plenti tart mouth pineappl delici  price dri mango minerality barrel  toasti clean  banana cream tast mouth   brisk fruits butterscotch simpl lot firm  littl year seem  import pineapples,,,,
6,Sparkling Blend,  appl aroma finish flavor flavors pinot fruit sparkl sweet,,,,
7,Sangiovese, berri black cherry dri finish leather  palat ripe tannin tobacco aroma red spice tannins acid nose  bright flavor sangioves   plum fruit cherri mouth,,,,
8,Red Blend, aroma black bright cherry deliv flavor pepper tannin  blend clove dri  firm  open palat plum sangioves toast berry cabernet dark franc leather merlot sauvignon syrah tannins tobacco  blackberri  finish  soft spice licoric red berri big fruit herbal meat flavors nose aromas complex ripe smooth chocol  touch cherri earth fresh green mouth  lead oak smoke  hint  blackberry currant raspberri acid  tannic malbec palate petit sirah spici sweet  light rich age balanc cab  grape  littl verdot come mouth  pair fine mix concentr herb sangiovese vanilla  long slight tight intens  tast year back one make chocolate cola tone ,,,,
9,Petite Sirah, petit sirah ,,,,
10,Syrah, aroma chocol dark  flavor fruit soft tannins berri blackberri dri nose  spice flavors  plum ripe  acid palat pepper syrah cherri vineyard complex rich tannic chocolate dry   oak sweet tannin meat smoke black finish  red blackberry herb ,,,,
